"rel_id","subject_id","subject_label","predicate_pid","predicate_label","object_id","object_label","object_entity_type","source","source_url","retrieved_at"
"R0001","Q104844715","Paxos Trust Company","P169","chief executive officer","Q109999901","Charles Cascarilla","person","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08"
"R0002","Q104844715","Paxos Trust Company","P112","founded by","Q109999901","Charles Cascarilla","person","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08"
"R0003","Q109999901","Charles Cascarilla","P108","employer","Q104844715","Paxos Trust Company","organization","wikidata","https://www.wikidata.org/wiki/Q109999901","2026-04-08"
"R0004","Q483959","PayPal","P112","founded by","Q705525","Peter Thiel","person","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"R0005","Q483959","PayPal","P112","founded by","Q93014","Max Levchin","person","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"R0006","Q483959","PayPal","P112","founded by","Q317521","Elon Musk","person","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"R0007","Q483959","PayPal","P749","parent organization","Q163740","eBay","organization","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08"
"R0008","Q950419","Mercado Libre","P112","founded by","Q5996574","Marcos Galperin","person","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08"
"R0009","Q950419","Mercado Libre","P169","chief executive officer","Q5996574","Marcos Galperin","person","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08"
"R0010","Q5996574","Marcos Galperin","P108","employer","Q950419","Mercado Libre","organization","wikidata","https://www.wikidata.org/wiki/Q5996574","2026-04-08"
"R0011","Q5996574","Marcos Galperin","P69","educated at","Q41506","Stanford University","organization","wikidata","https://www.wikidata.org/wiki/Q5996574","2026-04-08"
"R0012","Q380","Meta","P169","chief executive officer","Q36215","Mark Zuckerberg","person","wikidata","https://www.wikidata.org/wiki/Q380","2026-04-08"
"R0013","Q380","Meta","P112","founded by","Q36215","Mark Zuckerberg","person","wikidata","https://www.wikidata.org/wiki/Q380","2026-04-08"
"R0014","Q5230497","David A. Marcus","P108","employer","Q483959","PayPal","organization","wikidata","https://www.wikidata.org/wiki/Q5230497","2026-04-08"
"R0015","Q5230497","David A. Marcus","P108","employer","Q380","Meta","organization","wikidata","https://www.wikidata.org/wiki/Q5230497","2026-04-08"
"R0016","Q109999902","Ben Davenport","P108","employer","Q30588516","Blockchain Capital","organization","wikidata","https://www.wikidata.org/wiki/Q109999902","2026-04-08"
"R0017","Q109999902","Ben Davenport","P108","employer","Q22077752","BitGo","organization","wikidata","https://www.wikidata.org/wiki/Q109999902","2026-04-08"
"R0018","Q1191721","Depository Trust & Clearing Corporation","P355","subsidiary","Q18149865","Depository Trust Company","organization","wikidata","https://www.wikidata.org/wiki/Q1191721","2026-04-08"
"R0019","Q7982301","Wences Casares","P463","member of","Q18208378","Xapo","organization","wikidata","https://www.wikidata.org/wiki/Q7982301","2026-04-08"
"R0020","Q18208378","Xapo","P112","founded by","Q7982301","Wences Casares","person","wikidata","https://www.wikidata.org/wiki/Q18208378","2026-04-08"
