"entity_id","name","entity_type","aliases","description","wikidata_url"
"Q104844715","Paxos Trust Company","organization","Paxos|itBit","financial technology company","https://www.wikidata.org/wiki/Q104844715"
"Q109999901","Charles Cascarilla","person","","co-founder and CEO of Paxos Trust Company","https://www.wikidata.org/wiki/Q109999901"
"Q483959","PayPal","organization","PayPal Holdings, Inc.|PayPal, Inc.","online payments system","https://www.wikidata.org/wiki/Q483959"
"Q950419","Mercado Libre","organization","MercadoLibre|MELI","e-commerce company","https://www.wikidata.org/wiki/Q950419"
"Q5996574","Marcos Galperin","person","Marcos Eduardo Galperin","founder and CEO of Mercado Libre","https://www.wikidata.org/wiki/Q5996574"
"Q380","Meta","organization","Meta Platforms|Meta Platforms, Inc.|Facebook|Facebook, Inc.","American technology company","https://www.wikidata.org/wiki/Q380"
"Q5230497","David A. Marcus","person","David Marcus","technology executive","https://www.wikidata.org/wiki/Q5230497"
"Q30588516","Blockchain Capital","organization","Crypto Currency Partners","American venture capital company","https://www.wikidata.org/wiki/Q30588516"
"Q109999902","Ben Davenport","person","","fintech entrepreneur and investor","https://www.wikidata.org/wiki/Q109999902"
"Q1191721","Depository Trust & Clearing Corporation","organization","DTCC|Depository Trust and Clearing Corporation","financial market infrastructure company","https://www.wikidata.org/wiki/Q1191721"
"Q7982301","Wences Casares","person","Wenceslao Casares","Argentine fintech entrepreneur","https://www.wikidata.org/wiki/Q7982301"
"Q18208378","Xapo","organization","Xapo Bank","bitcoin banking services","https://www.wikidata.org/wiki/Q18208378"
