"claim_id","claim_type","subject_id","subject_label","predicate_pid","predicate_label","object_id","object_label","value","value_type","claim_text","confidence","source","source_url","retrieved_at","source_row_id"
"C0001","relationship","Q104844715","Paxos Trust Company","P169","chief executive officer","Q109999901","Charles Cascarilla","","entity","Charles Cascarilla is chief executive officer of Paxos Trust Company.","0.92","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08","R0001"
"C0002","relationship","Q104844715","Paxos Trust Company","P112","founded by","Q109999901","Charles Cascarilla","","entity","Paxos Trust Company was founded by Charles Cascarilla.","0.92","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08","R0002"
"C0003","relationship","Q109999901","Charles Cascarilla","P108","employer","Q104844715","Paxos Trust Company","","entity","Charles Cascarilla is employed by Paxos Trust Company.","0.92","wikidata","https://www.wikidata.org/wiki/Q109999901","2026-04-08","R0003"
"C0004","relationship","Q483959","PayPal","P112","founded by","Q705525","Peter Thiel","","entity","PayPal was founded by Peter Thiel.","0.97","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08","R0004"
"C0005","relationship","Q483959","PayPal","P112","founded by","Q93014","Max Levchin","","entity","PayPal was founded by Max Levchin.","0.97","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08","R0005"
"C0006","relationship","Q483959","PayPal","P112","founded by","Q317521","Elon Musk","","entity","PayPal was founded by Elon Musk.","0.97","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08","R0006"
"C0007","relationship","Q483959","PayPal","P749","parent organization","Q163740","eBay","","entity","PayPal has been a subsidiary of eBay.","0.80","wikidata","https://www.wikidata.org/wiki/Q483959","2026-04-08","R0007"
"C0008","relationship","Q950419","Mercado Libre","P112","founded by","Q5996574","Marcos Galperin","","entity","Mercado Libre was founded by Marcos Galperin.","0.97","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08","R0008"
"C0009","relationship","Q950419","Mercado Libre","P169","chief executive officer","Q5996574","Marcos Galperin","","entity","Marcos Galperin is chief executive officer of Mercado Libre.","0.97","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08","R0009"
"C0010","relationship","Q5996574","Marcos Galperin","P108","employer","Q950419","Mercado Libre","","entity","Marcos Galperin is employed by Mercado Libre.","0.94","wikidata","https://www.wikidata.org/wiki/Q5996574","2026-04-08","R0010"
"C0011","relationship","Q380","Meta","P112","founded by","Q36215","Mark Zuckerberg","","entity","Meta was founded by Mark Zuckerberg.","0.96","wikidata","https://www.wikidata.org/wiki/Q380","2026-04-08","R0013"
"C0012","relationship","Q380","Meta","P169","chief executive officer","Q36215","Mark Zuckerberg","","entity","Mark Zuckerberg is chief executive officer of Meta.","0.96","wikidata","https://www.wikidata.org/wiki/Q380","2026-04-08","R0012"
"C0013","relationship","Q5230497","David A. Marcus","P108","employer","Q483959","PayPal","","entity","David A. Marcus worked for PayPal.","0.93","wikidata","https://www.wikidata.org/wiki/Q5230497","2026-04-08","R0014"
"C0014","relationship","Q5230497","David A. Marcus","P108","employer","Q380","Meta","","entity","David A. Marcus worked for Meta.","0.93","wikidata","https://www.wikidata.org/wiki/Q5230497","2026-04-08","R0015"
"C0015","relationship","Q109999902","Ben Davenport","P108","employer","Q30588516","Blockchain Capital","","entity","Ben Davenport worked for Blockchain Capital.","0.88","wikidata","https://www.wikidata.org/wiki/Q109999902","2026-04-08","R0016"
"C0016","relationship","Q109999902","Ben Davenport","P108","employer","Q22077752","BitGo","","entity","Ben Davenport worked for BitGo.","0.88","wikidata","https://www.wikidata.org/wiki/Q109999902","2026-04-08","R0017"
"C0017","relationship","Q1191721","Depository Trust & Clearing Corporation","P355","subsidiary","Q18149865","Depository Trust Company","","entity","Depository Trust & Clearing Corporation has a subsidiary called Depository Trust Company.","0.95","wikidata","https://www.wikidata.org/wiki/Q1191721","2026-04-08","R0018"
"C0018","relationship","Q7982301","Wences Casares","P463","member of","Q18208378","Xapo","","entity","Wences Casares is a member of Xapo.","0.95","wikidata","https://www.wikidata.org/wiki/Q7982301","2026-04-08","R0019"
"C0019","relationship","Q18208378","Xapo","P112","founded by","Q7982301","Wences Casares","","entity","Xapo was founded by Wences Casares.","0.97","wikidata","https://www.wikidata.org/wiki/Q18208378","2026-04-08","R0020"
"C0020","fact","Q104844715","Paxos Trust Company","P571","inception","","","2012","date","Paxos Trust Company was founded in 2012.","0.95","wikidata","https://www.wikidata.org/wiki/Q104844715","2026-04-08","F0001"
"C0021","fact","Q950419","Mercado Libre","P571","inception","","","1997-08-02","date","Mercado Libre was founded on 1997-08-02.","0.96","wikidata","https://www.wikidata.org/wiki/Q950419","2026-04-08","F0005"
"C0022","fact","Q7982301","Wences Casares","P569","date of birth","","","1974-02-26","date","Wences Casares was born on 1974-02-26.","0.99","wikidata","https://www.wikidata.org/wiki/Q7982301","2026-04-08","F0011"
"C0023","fact","Q5996574","Marcos Galperin","P569","date of birth","","","1971-10-31","date","Marcos Galperin was born on 1971-10-31.","0.99","wikidata","https://www.wikidata.org/wiki/Q5996574","2026-04-08","F0012"
