source,target,type
aleksandr-kogan,facebook-ca-scandal-2018,INVOLVED_IN
aleksandr-kogan,global-science-research,FOUNDED
andrew-breitbart,breitbart-news,FOUNDED
apple,parler-deplatforming-2021,INVOLVED_IN
bill-montgomery,turning-point-usa,FOUNDED
cambridge-analytica,facebook-ca-scandal-2018,INVOLVED_IN
cambridge-analytica,political-microtargeting,ASSOCIATED_WITH
cambridge-analytica,scl-group,SUBSIDIARY_OF
cambridge-analytica,trump-2016-campaign,ASSOCIATED_WITH
candace-owens,turning-point-usa,ASSOCIATED_WITH
charlie-kirk,turning-point-action,FOUNDED
charlie-kirk,turning-point-usa,FOUNDED
charlie-kirk,turning-point-usa,LED
christopher-wylie,cambridge-analytica,ASSOCIATED_WITH
christopher-wylie,facebook-ca-scandal-2018,INVOLVED_IN
dan-bongino,parler,FUNDED
donald-trump,trump-2016-campaign,LED
erika-kirk,turning-point-usa,LED
facebook,facebook-ca-scandal-2018,INVOLVED_IN
facebook,ftc-facebook-penalty-2019,INVOLVED_IN
facebook,ico-facebook-fine-2018,INVOLVED_IN
facebook,meta-platforms,PART_OF
facebook-ca-scandal-2018,data-privacy,ASSOCIATED_WITH
federal-trade-commission,ftc-facebook-penalty-2019,INVOLVED_IN
foster-friess,turning-point-usa,FUNDED
ftc-facebook-penalty-2019,data-privacy,ASSOCIATED_WITH
george-farmer,parler,LED
george-farmer,turning-point-uk,LED
global-science-research,cambridge-analytica,ASSOCIATED_WITH
global-science-research,facebook-ca-scandal-2018,INVOLVED_IN
google,parler-deplatforming-2021,INVOLVED_IN
ico-facebook-fine-2018,data-privacy,ASSOCIATED_WITH
jared-thomson,parler,FOUNDED
john-matze,parler,FOUNDED
make-america-number-1-pac,trump-2016-campaign,ASSOCIATED_WITH
mark-zuckerberg,meta-platforms,LED
nigel-oakes,scl-group,FOUNDED
parlement-technologies,parler,OWNS
parler,january-6-capitol-attack,ASSOCIATED_WITH
parler,parler-deplatforming-2021,INVOLVED_IN
parler-deplatforming-2021,content-moderation,ASSOCIATED_WITH
parler-deplatforming-2021,data-privacy,ASSOCIATED_WITH
political-microtargeting,trump-2016-campaign,ASSOCIATED_WITH
qanon,january-6-capitol-attack,ASSOCIATED_WITH
qanon,parler,ASSOCIATED_WITH
rebekah-mercer,cambridge-analytica,FUNDED
rebekah-mercer,heritage-foundation,MEMBER_OF
rebekah-mercer,make-america-number-1-pac,LED
rebekah-mercer,parler,FUNDED
robert-mercer,cambridge-analytica,FUNDED
robert-mercer,heritage-foundation,FUNDED
robert-mercer,make-america-number-1-pac,FUNDED
robert-mercer,renaissance-technologies,LED
scl-group,facebook-ca-scandal-2018,INVOLVED_IN
starboard,parlement-technologies,OWNS
steve-bannon,breitbart-news,LED
steve-bannon,cambridge-analytica,ASSOCIATED_WITH
turning-point-action,turning-point-usa,PART_OF
turning-point-uk,turning-point-usa,PART_OF
uk-ico,ico-facebook-fine-2018,INVOLVED_IN
amazon-web-services,amazon,PART_OF
amazon-web-services,parler-deplatforming-2021,INVOLVED_IN
alexander-nix,cambridge-analytica,LED
